id	label	nationality	date_of_birth	year_of_birth	image
Q307151	H. Naoto	japan	1977-01-01T00:00:00Z	1977	https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Sixh-h.Naoto_Fashion_Show_at_Anime_Next_2011_-_108.jpg/200px-Sixh-h.Naoto_Fashion_Show_at_Anime_Next_2011_-_108.jpg
Q310602	Takayuki Morimoto	japan	1988-05-07T00:00:00Z	1988	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Morimoto_UDI-CAT_4-2.jpg/200px-Morimoto_UDI-CAT_4-2.jpg
Q311191	Junichi Inamoto	japan	1979-09-18T00:00:00Z	1979	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Junichi_Inamoto.jpg/200px-Junichi_Inamoto.jpg
Q312327	Nobuo Uematsu	japan	1959-03-21T00:00:00Z	1959	https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Nobuo_Uematsu.jpg/200px-Nobuo_Uematsu.jpg
Q313649	Seiji Ozawa	japan	1935-09-01T00:00:00Z	1935	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Seiji_Ozawa_1963.jpg/200px-Seiji_Ozawa_1963.jpg
Q313945	Gosho Aoyama	japan	1963-06-21T00:00:00Z	1963	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Gosho_Aoyama.jpg/200px-Gosho_Aoyama.jpg
Q316664	Kōhei Uchimura	japan	1989-01-03T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Kohei_Uchimura_(2011).jpg/200px-Kohei_Uchimura_(2011).jpg
Q327814	Yoshiyuki Miyake	japan	1945-09-30T00:00:00Z	1945	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Yoshiyuki_Miyake_cropped.jpg/200px-Yoshiyuki_Miyake_cropped.jpg
Q331984	Yuki Abe	japan	1981-09-06T00:00:00Z	1981	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yuki_Abe_7.05.2011.jpg/200px-Yuki_Abe_7.05.2011.jpg
Q348074	Hiroshi Shirai	japan	1937-07-31T00:00:00Z	1937	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Hiroshi_Shirai.jpg/200px-Hiroshi_Shirai.jpg
Q352113	Yoshiaki Tsutsumi	japan	1934-05-29T00:00:00Z	1934	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Tsutsumi_Yasuzirou3.JPG/200px-Tsutsumi_Yasuzirou3.JPG
Q356782	Koji Kondo	japan	1961-08-13T00:00:00Z	1961	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Kōji_Kondō_2015_(cropped).jpg/200px-Kōji_Kondō_2015_(cropped).jpg
Q359305	Yukio Endo	japan	1937-01-18T00:00:00Z	1937	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Yukio_Endo_1966a.jpg/200px-Yukio_Endo_1966a.jpg
Q373544	Go Soeda	japan	1984-09-05T00:00:00Z	1984	https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Soeda_WMQ14_(17)_(14583866126).jpg/200px-Soeda_WMQ14_(17)_(14583866126).jpg
Q373959	Masanobu Andō	japan	1975-05-19T00:00:00Z	1975	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Masanobu_Andô_2011.jpg/200px-Masanobu_Andô_2011.jpg
Q376396	Yasushi Nagao	japan	1930-05-20T00:00:00Z	1930	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Yasushi_Nagao_(1961).jpg/200px-Yasushi_Nagao_(1961).jpg
Q379021	Mitsuhiro Ishida	japan	1978-12-29T00:00:00Z	1978	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Mitsuhiro_Ishida.jpg/200px-Mitsuhiro_Ishida.jpg
Q380695	Kunishige Kamamoto	japan	1944-04-15T00:00:00Z	1944	https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Kunishige_Kamamoto_IMG_3322_20140110.JPG/200px-Kunishige_Kamamoto_IMG_3322_20140110.JPG
Q382311	Takeo Kawamura	japan	1942-11-10T00:00:00Z	1942	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Takeo_Kawamura.jpg/200px-Takeo_Kawamura.jpg
Q418119	Akihiro Ohata	japan	1947-10-05T00:00:00Z	1947	https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Akihiro_Ohata.jpg/200px-Akihiro_Ohata.jpg
Q418129	Akihisa Inoue	japan	1947-09-13T00:00:00Z	1947	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Akihisa_Inoue_cropped_1_Akihisa_Inoue_James_Zumwalt_and_Ann_Kambara_2009.jpg/200px-Akihisa_Inoue_cropped_1_Akihisa_Inoue_James_Zumwalt_and_Ann_Kambara_2009.jpg
Q418888	Akira Sakata	japan	1945-02-21T00:00:00Z	1945	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Akira_Sakata_Kongsberg_Jazzfestival_2018_(154320).jpg/200px-Akira_Sakata_Kongsberg_Jazzfestival_2018_(154320).jpg
Q428553	Shintaro Ikeda	japan	1980-12-27T00:00:00Z	1980	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Badminton-shintaro_ikeda_(cropped).jpg/200px-Badminton-shintaro_ikeda_(cropped).jpg
Q430903	Yuya Matsushita	japan	1990-05-24T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Yuya_Matsushita_at_Fanime_2011_Opening_Ceremony.jpg/200px-Yuya_Matsushita_at_Fanime_2011_Opening_Ceremony.jpg
Q431443	Leiji Matsumoto	japan	1938-01-25T00:00:00Z	1938	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Leiji_Matsumoto_-_Salon_du_Livre_Genève,_3rd_May_2014_3_-_cropped.jpg/200px-Leiji_Matsumoto_-_Salon_du_Livre_Genève,_3rd_May_2014_3_-_cropped.jpg
Q434037	Yoshitada Konoike	japan	1940-11-28T00:00:00Z	1940	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Yoshitada_Konoike_IMG_5812_20130714.JPG/200px-Yoshitada_Konoike_IMG_5812_20130714.JPG
Q434265	Rieko Kanai	japan	1981-11-04T00:00:00Z	1981	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Continental_Cup_2010_Villach_-_Rieko_Kanai_57.JPG/200px-Continental_Cup_2010_Villach_-_Rieko_Kanai_57.JPG
Q437849	Yumiko Igarashi	japan	1950-08-26T00:00:00Z	1950	https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Yumiko_Igarashi_-_Japan_Expo_2011_-_P1210077.jpg/200px-Yumiko_Igarashi_-_Japan_Expo_2011_-_P1210077.jpg
Q440006	Anthony Ichiro Sanda	japan	1944-03-04T00:00:00Z	1944	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Anthony-ichiro-sanda.jpg/200px-Anthony-ichiro-sanda.jpg
Q442221	Megumi Kamionobe	japan	1986-03-15T00:00:00Z	1986	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Megumi_Kamionobe_(18733585736).jpg/200px-Megumi_Kamionobe_(18733585736).jpg
Q442984	Miho Fukuhara	japan	1987-06-19T00:00:00Z	1987	https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Fukuhara24-2.jpg/200px-Fukuhara24-2.jpg
Q456066	Reiko Shiota	japan	1983-09-30T00:00:00Z	1983	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Badminton-reiko_shiota-adj.jpg/200px-Badminton-reiko_shiota-adj.jpg
Q456105	Daisuke Nakajima	japan	1989-01-29T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Daisuke_Nakajima_2015_Motorsport_Japan.jpg/200px-Daisuke_Nakajima_2015_Motorsport_Japan.jpg
Q457621	Miyuki Maeda	japan	1985-10-14T00:00:00Z	1985	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Miyuki_Maeda_US_Open_Badminton_2011.jpg/200px-Miyuki_Maeda_US_Open_Badminton_2011.jpg
Q457860	Yasushi Akimoto	japan	1958-05-02T00:00:00Z	1958	https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Yasushi_Akimoto.jpg/200px-Yasushi_Akimoto.jpg
Q462308	Shinji Tarutoko	japan	1959-08-06T00:00:00Z	1959	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Shinji_Tarutoko_Minshu_IMG_5451_20130707.JPG/200px-Shinji_Tarutoko_Minshu_IMG_5451_20130707.JPG
Q464164	Masahiko Yamada	japan	1942-04-08T00:00:00Z	1942	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Masahiko_Yamada.jpg/200px-Masahiko_Yamada.jpg
Q466963	Tetsuko Kuroyanagi	japan	1933-08-09T00:00:00Z	1933	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Tetsuko_Kuroyanagi_1956.jpg/200px-Tetsuko_Kuroyanagi_1956.jpg
Q467082	Sara Takanashi	japan	1996-10-08T00:00:00Z	1996	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sara_Takanashi_Hinterzarten2012.jpg/200px-Sara_Takanashi_Hinterzarten2012.jpg
Q472792	Yoshiaki Takaki	japan	1945-12-22T00:00:00Z	1945	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Yoshiaki_Takaki.jpg/200px-Yoshiaki_Takaki.jpg
Q476441	Seiji Nishimura	japan	1956-07-09T00:00:00Z	1956	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Seiji_Nishimura.jpg/200px-Seiji_Nishimura.jpg
Q484173	Rikidōzan	japan	1924-11-14T00:00:00Z	1924	https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Rikidouzan.jpg/200px-Rikidouzan.jpg
Q485722	Kenjiro Nomura	japan	1966-09-19T00:00:00Z	1966	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/野村謙二郎20040219.jpg/200px-野村謙二郎20040219.jpg
Q489862	Naoyuki Shimizu	japan	1975-11-24T00:00:00Z	1975	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Naoyuki_Shimizu_on_May_5,_2010.jpg/200px-Naoyuki_Shimizu_on_May_5,_2010.jpg
Q498314	Nakamura Kanzaburō XVIII	japan	1955-05-30T00:00:00Z	1955	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Nakamura_Kanzaburo_XVIII.jpg/200px-Nakamura_Kanzaburo_XVIII.jpg
Q509079	Yuki Otsu	japan	1990-03-24T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Yuki_Otsu_2012_Borussia_Mönchengladbach_(cropped).jpg/200px-Yuki_Otsu_2012_Borussia_Mönchengladbach_(cropped).jpg
Q509475	Yui Sakai	japan	1987-12-07T00:00:00Z	1987	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Yui_Sakai_Moscow_2015.jpg/200px-Yui_Sakai_Moscow_2015.jpg
Q510869	Yoko Tanaka	japan	1993-07-30T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Yōko_Tanaka_2012_(cropped).JPG/200px-Yōko_Tanaka_2012_(cropped).JPG
Q511395	Chushiro Hayashi	japan	1920-07-25T00:00:00Z	1920	https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hayashi.jpg/200px-Hayashi.jpg
Q513173	Nozomi Ōhashi	japan	1999-05-09T00:00:00Z	1999	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Ohashi_nozomi.jpg/200px-Ohashi_nozomi.jpg
Q513317	Katsuya Okada	japan	1953-07-14T00:00:00Z	1953	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Katsuya_Okada_cropped_Katsuya_Okada_and_Hillary_Rodham_Clinton_20090921.jpg/200px-Katsuya_Okada_cropped_Katsuya_Okada_and_Hillary_Rodham_Clinton_20090921.jpg
Q516577	Kenichi Hayakawa	japan	1986-04-05T00:00:00Z	1986	https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Yonex_IFB_2013_-_Eightfinal_-_Kenichi_Hayakawa_-_Misaki_Matsutomo_—_Selena_Piek_-_Jacco_Arends_02.jpg/200px-Yonex_IFB_2013_-_Eightfinal_-_Kenichi_Hayakawa_-_Misaki_Matsutomo_—_Selena_Piek_-_Jacco_Arends_02.jpg
Q517105	Ayane Kurihara	japan	1989-09-27T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Badminton-ayane_kurihara.jpg/200px-Badminton-ayane_kurihara.jpg
Q529825	Kenji Yamaoka	japan	1943-04-25T00:00:00Z	1943	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Kenji_Yamaoka_201109.jpg/200px-Kenji_Yamaoka_201109.jpg
Q533980	Sugao Kambe	japan	1961-08-02T00:00:00Z	1961	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Sugao_Kambe.jpg/200px-Sugao_Kambe.jpg
Q534338	Kyoko Nakayama	japan	1940-01-26T00:00:00Z	1940	https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Nakayama_Kyoko_1-1.jpg/200px-Nakayama_Kyoko_1-1.jpg
Q539013	Keigo Sonoda	japan	1990-02-20T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/TOTAL_BWF_World_Champs_2015_Day_2_Keigo_Sonoda.jpg/200px-TOTAL_BWF_World_Champs_2015_Day_2_Keigo_Sonoda.jpg
Q543416	Taro Sekiguchi	japan	1975-12-05T00:00:00Z	1975	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/全日本ロードレース選手権_-ヤマハバイク_(27125343390).jpg/200px-全日本ロードレース選手権_-ヤマハバイク_(27125343390).jpg
Q552388	Koriki Jojima	japan	1947-01-01T00:00:00Z	1947	https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Koriki_Jojima.jpg/200px-Koriki_Jojima.jpg
Q554137	Kazunori Yamauchi	japan	1967-08-05T00:00:00Z	1967	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Kazunori_Yamauchi.jpg/200px-Kazunori_Yamauchi.jpg
Q556244	Fuminori Nakamura	japan	1977-09-02T00:00:00Z	1977	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Nakamura_Fuminori.JPG/200px-Nakamura_Fuminori.JPG
Q557207	Pata	japan	1965-11-04T00:00:00Z	1965	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/RaIN_20090703_Japan_Expo_14.jpg/200px-RaIN_20090703_Japan_Expo_14.jpg
Q558874	Shuichi Gonda	japan	1989-03-03T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Shuichi_Gonda.jpg/200px-Shuichi_Gonda.jpg
Q558887	Hiroki Sakai	japan	1990-04-12T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Hiroki_Sakai.jpg/200px-Hiroki_Sakai.jpg
Q558890	Shusaku Nishikawa	japan	1986-06-18T00:00:00Z	1986	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Shusaku_Nishikawa.jpg/200px-Shusaku_Nishikawa.jpg
Q579638	Shinjirō Kojima	japan	1982-06-11T00:00:00Z	1982	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/OB-Shinjiro-Kojima20110623.jpg/200px-OB-Shinjiro-Kojima20110623.jpg
Q587918	Atsushi Inaba	japan	1971-08-28T00:00:00Z	1971	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Atsushi_Inaba_(2004).jpg/200px-Atsushi_Inaba_(2004).jpg
Q611261	Takayoshi Yanagida	japan	1948-03-27T00:00:00Z	1948	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Takayoshi_Yanagida.jpg/200px-Takayoshi_Yanagida.jpg
Q614476	Tatsuya Ito	japan	1961-07-06T00:00:00Z	1961	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Itotatsuya.jpg/200px-Itotatsuya.jpg
Q624552	yuri	japan	1977-02-22T00:00:00Z	1977	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Yuri_from_move_in_Singapore_Anime_Festival_Asia.png/200px-Yuri_from_move_in_Singapore_Anime_Festival_Asia.png
Q634280	Shigeru Umebayashi	japan	1951-02-19T00:00:00Z	1951	https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Umebayashi.jpg/200px-Umebayashi.jpg
Q640945	Noriko Sakai	japan	1971-02-14T00:00:00Z	1971	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Sakai_Noriko-groink2000.png/200px-Sakai_Noriko-groink2000.png
Q641883	Noriyuki Haga	japan	1975-03-02T00:00:00Z	1975	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Noriyuki_Haga_Ducati_Xerox_2009.jpg/200px-Noriyuki_Haga_Ducati_Xerox_2009.jpg
Q656085	Keiji Yamada	japan	1954-04-05T00:00:00Z	1954	https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/The_Governor_of_Kyoto_Prefecture_Keiji_Yamada_in_Kyoto,_Japan_cropped.jpg/200px-The_Governor_of_Kyoto_Prefecture_Keiji_Yamada_in_Kyoto,_Japan_cropped.jpg
Q661410	Shinjirō Koizumi	japan	1981-04-14T00:00:00Z	1981	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/KoizumiShinjiro_20120813.jpg/200px-KoizumiShinjiro_20120813.jpg
Q664925	Shin'ichirō Azuma	japan	1982-07-07T00:00:00Z	1982	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/道祖神が祀られたタンク山に参拝する地元の老婆.jpg/200px-道祖神が祀られたタンク山に参拝する地元の老婆.jpg
Q665485	Shuhei Aoyama	japan	1984-12-05T00:00:00Z	1984	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/88_Shuhei_Aoyama_2008Aug.jpg/200px-88_Shuhei_Aoyama_2008Aug.jpg
Q675941	Kazuo Chiba	japan	1940-02-05T00:00:00Z	1940	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/T.K_Chiba.jpg/200px-T.K_Chiba.jpg
Q697969	Masahiko Kōmura	japan	1942-03-15T00:00:00Z	1942	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Komura_Masahiko_1-3.jpg/200px-Komura_Masahiko_1-3.jpg
Q703337	Makoto Tamada	japan	1976-11-04T00:00:00Z	1976	https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Makoto_Tamada_2006_Phillip_Island.jpg/200px-Makoto_Tamada_2006_Phillip_Island.jpg
Q706955	Tadashi Nakamura	japan	1942-02-22T00:00:00Z	1942	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Tadashi_Nakamura_in_Poland.jpg/200px-Tadashi_Nakamura_in_Poland.jpg
Q719551	Shintarō Katsu	japan	1931-11-29T00:00:00Z	1931	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Shintarō_Katsu_in_Hatsu-haru_Tanuki_Goten_1959.jpg/200px-Shintarō_Katsu_in_Hatsu-haru_Tanuki_Goten_1959.jpg
Q721472	Shōhei Tochimoto	japan	1989-12-21T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Tochimoto_Shohei_JPN_IMG_8645.JPG/200px-Tochimoto_Shohei_JPN_IMG_8645.JPG
Q723867	Shin'ichirō Watanabe	japan	1965-05-24T00:00:00Z	1965	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Shinichiro_Watanabe_20090703_Japan_Expo_01.jpg/200px-Shinichiro_Watanabe_20090703_Japan_Expo_01.jpg
Q724550	Yamato Maeda	japan	1987-11-05T00:00:00Z	1987	https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Maeda_yamato.jpg/200px-Maeda_yamato.jpg
Q730869	Hideo Higashikokubaru	japan	1957-09-16T00:00:00Z	1957	https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hideo_Higashikokubaru_2007_1216.jpg/200px-Hideo_Higashikokubaru_2007_1216.jpg
Q732991	Satoshi Yamaguchi	japan	1978-04-17T00:00:00Z	1978	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Satoshi_Yamaguchi.jpg/200px-Satoshi_Yamaguchi.jpg
Q741184	Ken Takakura	japan	1931-02-16T00:00:00Z	1931	https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Ken_Takakura.jpg/200px-Ken_Takakura.jpg
Q741631	Shinji Mikami	japan	1965-08-11T00:00:00Z	1965	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Shinji_Mikami_April_2013_3.jpg/200px-Shinji_Mikami_April_2013_3.jpg
Q761051	Hiroshi Hoketsu	japan	1941-03-28T00:00:00Z	1941	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Hiroshi_Hoketsu_at_the_2012_Summer_Olympics.jpg/200px-Hiroshi_Hoketsu_at_the_2012_Summer_Olympics.jpg
Q769328	Mami Sasazaki	japan	1990-05-21T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/SCANDAL_set2_20080705_Japan_Expo_024.jpg/200px-SCANDAL_set2_20080705_Japan_Expo_024.jpg
Q776878	Takumi Minamino	japan	1995-01-16T00:00:00Z	1995	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/FC_Admira_Wacker_Mödling_vs._FC_Red_Bull_Salzburg_(Cup)_2017-04-26_(093).jpg/200px-FC_Admira_Wacker_Mödling_vs._FC_Red_Bull_Salzburg_(Cup)_2017-04-26_(093).jpg
Q841199	Haruichi Shindō	japan	1974-09-20T00:00:00Z	1974	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Porno_Graffitti_at_Anime_Expo_2013.jpg/200px-Porno_Graffitti_at_Anime_Expo_2013.jpg
Q842294	Sada Mayumi	japan	1977-08-23T00:00:00Z	1977	https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SONY_VAIO_石田純一_佐田真由美.jpg/200px-SONY_VAIO_石田純一_佐田真由美.jpg
Q843049	Mika Ninagawa	japan	1972-10-18T00:00:00Z	1972	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ninamika.jpg/200px-Ninamika.jpg
Q844174	Mami Kingetsu	japan	1965-04-02T00:00:00Z	1965	https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Mami_Kingetsu_1999.jpg/200px-Mami_Kingetsu_1999.jpg
Q845595	Norihiro Akahoshi	japan	1976-04-10T00:00:00Z	1976	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/HT-Norihiro-Akahoshi.jpg/200px-HT-Norihiro-Akahoshi.jpg
Q845633	Shuichi Murata	japan	1980-12-28T00:00:00Z	1980	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Giants_murata_25.jpg/200px-Giants_murata_25.jpg
Q845978	Akihiro Higashide	japan	1980-08-21T00:00:00Z	1980	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/HC-Akihiro-Higashide.jpg/200px-HC-Akihiro-Higashide.jpg
Q847720	Yasuyuki Kataoka	japan	1983-02-17T00:00:00Z	1983	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/SL-Yasuyuki-Kataoka20120528.jpg/200px-SL-Yasuyuki-Kataoka20120528.jpg
Q848159	Tetsuya Yamaguchi	japan	1983-11-11T00:00:00Z	1983	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Giants_yamaguchi_47.jpg/200px-Giants_yamaguchi_47.jpg
Q848251	Minoru Iwata	japan	1983-10-31T00:00:00Z	1983	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/HT-Minoru-Iwata20110310.jpg/200px-HT-Minoru-Iwata20110310.jpg
Q848767	Akinori Ōtsuka	japan	1972-01-13T00:00:00Z	1972	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/AkinoriOtsuka.jpg/200px-AkinoriOtsuka.jpg
Q849174	Kiyoshi Toyoda	japan	1971-02-02T00:00:00Z	1971	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Giants_toyoda_77.jpg/200px-Giants_toyoda_77.jpg
Q858958	Takumi Kuriyama	japan	1983-09-03T00:00:00Z	1983	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Kuriyama_takumi.jpg/200px-Kuriyama_takumi.jpg
Q860018	Shinichiro Koyama	japan	1978-06-13T00:00:00Z	1978	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Koyama_shinnichiro.jpg/200px-Koyama_shinnichiro.jpg
Q863646	Chihiro Kaneko	japan	1983-11-08T00:00:00Z	1983	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/金子千尋20110913.jpg/200px-金子千尋20110913.jpg
Q869064	Daisuke Fujimura	japan	1989-07-25T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/YG-Daisuke-Fujimura.jpg/200px-YG-Daisuke-Fujimura.jpg
Q869132	Alice Hirose	japan	1994-12-11T00:00:00Z	1994	"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Hirose_Alice_from_""MIKO_GIRL""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2017_(40170041862).jpg/200px-Hirose_Alice_from_""MIKO_GIRL""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2017_(40170041862).jpg"
